,alpha
2013-04-05,41.06234251356545
2013-04-08,44.179349906312126
2013-04-09,46.77613413404132
2013-04-10,48.761631636797524
2013-04-11,48.46391843511747
2013-04-12,47.82943142392784
2013-04-15,46.66650659286064
2013-04-16,43.14024892055343
2013-04-17,41.1755806965253
2013-04-18,43.50058730009199
2013-04-19,44.52892223949732
2013-04-22,46.70337909318908
2013-04-23,48.196263245270124
2013-04-24,49.037113619918436
2013-04-25,48.45275720333948
2013-04-26,49.48364618602424
2013-04-29,49.44172159826787
2013-04-30,49.16240754207019
2013-05-01,51.66624745627649
2013-05-02,53.228070752003276
2013-05-03,55.32005499338363
2013-05-06,55.285876496688054
2013-05-07,56.68488788466115
2013-05-08,56.50411589959811
2013-05-09,57.58913366786403
2013-05-10,57.72528957326207
2013-05-13,57.64203196747566
2013-05-14,58.02558807111343
2013-05-15,56.13380192931407
2013-05-16,58.04122078662689
2013-05-17,56.680597070979694
2013-05-20,57.974665439199974
2013-05-21,59.26972612177245
2013-05-22,59.30733996421511
2013-05-23,61.106528586277086
2013-05-24,61.28133114547215
2013-05-28,60.48602362201513
2013-05-29,62.04552720608905
2013-05-30,60.94630390181462
2013-05-31,58.73707870379192
2013-06-03,60.43005945268013
2013-06-04,58.33145552114525
2013-06-05,58.51541833376073
2013-06-06,61.54186875467988
2013-06-07,63.77689265244514
2013-06-10,62.40503952992661
2013-06-11,63.519496957531175
2013-06-12,62.04394496038644
2013-06-13,65.15538306049318
2013-06-14,65.25283593749182
2013-06-17,64.94840453759394
2013-06-18,65.29400895772703
2013-06-19,62.036345912664544
2013-06-20,60.96329600698997
2013-06-21,60.03369443222521
2013-06-24,60.56996478958332
2013-06-25,60.39630800761371
2013-06-26,60.37170403215879
2013-06-27,58.93991848500383
2013-06-28,63.624037447070165
2013-07-01,62.29285470280262
2013-07-02,61.62945871670676
2013-07-03,62.865797875194794
2013-07-05,63.073239559059566
2013-07-08,65.53599205186202
2013-07-09,65.74970677419368
2013-07-10,69.48961811684055
2013-07-11,70.34538608370363
2013-07-12,71.94664293500558
2013-07-15,70.38165354383196
2013-07-16,68.25761391367946
2013-07-17,66.21634142411654
2013-07-18,66.84407950263032
2013-07-19,68.15790295033112
2013-07-22,67.40928364852195
2013-07-23,67.64588332646183
